id,name,subregion,region-web,iso-a3,iso-a2,x,y,value,accessibility/description
ZW,Zimbabwe,Eastern Africa,Sub-Saharan Africa,ZWE,ZW,12,1,0.166,
ZM,Zambia,Eastern Africa,Sub-Saharan Africa,ZMB,ZM,11,2,-0.4567299731,
MG,Madagascar,Eastern Africa,Sub-Saharan Africa,MDG,MG,17,2,0.3575366652,
MW,Malawi,Eastern Africa,Sub-Saharan Africa,MWI,MW,12,2,0.0502533916,
MZ,Mozambique,Eastern Africa,Sub-Saharan Africa,MOZ,MZ,13,2,5.101667955,
BI,Burundi,Eastern Africa,Sub-Saharan Africa,BDI,BI,10,2,0.009933539955,
TZ,Tanzania,Eastern Africa,Sub-Saharan Africa,TZA,TZ,13,3,0.9218265584,
RW,Rwanda,Eastern Africa,Sub-Saharan Africa,RWA,RW,11,3,0.2118961289,
KE,Kenya,Eastern Africa,Sub-Saharan Africa,KEN,KE,12,3,0.4481227281,
UG,Uganda,Eastern Africa,Sub-Saharan Africa,UGA,UG,10,3,1.100458611,
SO,Somalia,Eastern Africa,Sub-Saharan Africa,SOM,SO,15,4,0.4555,
ET,Ethiopia,Eastern Africa,Sub-Saharan Africa,ETH,ET,12,4,4.259445211,
SS,South Sudan,Eastern Africa,Sub-Saharan Africa,SSD,SS,10,4,0.0675,
DJ,Djibouti,Eastern Africa,Middle East & North Africa,DJI,DJ,14,4,0.166750896,
ER,Eritrea,Eastern Africa,Sub-Saharan Africa,ERI,ER,13,5,0.070472,
AO,Angola,Middle Africa,Sub-Saharan Africa,AGO,AO,9,2,-4.355116553,
CD,Congo‚ Democratic Republic of,Middle Africa,Sub-Saharan Africa,COD,CD,8,2,1.870032503,
GA,Gabon,Middle Africa,Sub-Saharan Africa,GAB,GA,8,3,1.63482419,
GQ,Equatorial Guinea,Middle Africa,Sub-Saharan Africa,GNQ,GQ,6,3,0.4910909291,
CG,Congo,Middle Africa,Sub-Saharan Africa,COG,CG,9,3,3.690808232,
CM,Cameroon,Middle Africa,Sub-Saharan Africa,CMR,CM,9,4,0.8499831157,
CF,Central African Republic,Middle Africa,Sub-Saharan Africa,CAF,CF,11,4,0.0301741768,
TD,Chad,Middle Africa,Sub-Saharan Africa,TCD,TD,13,4,0.5621657256,
SD,Sudan,Northern Africa,Sub-Saharan Africa,SDN,SD,11,5,0.5228,
DZ,Algeria,Northern Africa,Middle East & North Africa,DZA,DZ,6,5,0.86965657,
LY,Libya,Northern Africa,Middle East & North Africa,LBY,LY,10,5,null,
EG,Egypt,Northern Africa,Middle East & North Africa,EGY,EG,12,5,5.122,
MA,Morocco,Northern Africa,Middle East & North Africa,MAR,MA,4,5,2.153310836,
TN,Tunisia,Northern Africa,Middle East & North Africa,TUN,TN,8,5,0.6602332395,
ZA,South Africa,Southern Africa,Sub-Saharan Africa,ZAF,ZA,9,1,40.88877232,
LS,Lesotho,Southern Africa,Sub-Saharan Africa,LSO,LS,11,1,-0.0123721925,
SZ,Swaziland,Southern Africa,Sub-Saharan Africa,SWZ,SZ,13,1,0.1174739161,
NA,Namibia,Southern Africa,Sub-Saharan Africa,NAM,NA,8,1,0.6538939858,
BW,Botswana,Southern Africa,Sub-Saharan Africa,BWA,BW,10,1,0.055155207,
LR,Liberia,Western Africa,Sub-Saharan Africa,LBR,LR,2,4,0.04568,
TG,Togo,Western Africa,Sub-Saharan Africa,TGO,TG,3,4,-0.1362214994,
SL,Sierra Leone,Western Africa,Sub-Saharan Africa,SLE,SL,0,4,0.2182981255,
CI,Ivory Coast,Western Africa,Sub-Saharan Africa,CIV,CI,4,4,null,
GH,Ghana,Western Africa,Sub-Saharan Africa,GHA,GH,6,4,2.41389,
NG,Nigeria,Western Africa,Sub-Saharan Africa,NGA,NG,7,4,3.31321,
SN,Senegal,Western Africa,Sub-Saharan Africa,SEN,SN,1,5,2.588124994,
GM,Gambia,Western Africa,Sub-Saharan Africa,GMB,GM,1,4,0.24855,
GN,Guinea,Western Africa,Sub-Saharan Africa,GIN,GN,9,5,0.19761,
BF,Burkina Faso,Western Africa,Sub-Saharan Africa,BFA,BF,5,5,-0.07995735534,
BJ,Benin,Western Africa,Sub-Saharan Africa,BEN,BJ,5,4,0.3459852356,
GW,Guinea-Bissau,Western Africa,Sub-Saharan Africa,GNB,GW,7,5,0.01852972336,
ML,Mali,Western Africa,Sub-Saharan Africa,MLI,ML,3,5,0.6399441654,
NE,Niger,Western Africa,Sub-Saharan Africa,NER,NE,8,4,0.5948319631,
MR,Mauritania,Western Africa,Sub-Saharan Africa,MRT,MR,-1,5,0.0221775749,
ST,São Tomé and Principe,Middle Africa,Sub-Saharan Africa,STP,ST,3,3,0.0590001327,
KM,Comoros,Eastern Africa,Sub-Saharan Africa,COM,KM,16,2,0.0040871641,
MU,Mauritius,Eastern Africa,Sub-Saharan Africa,MUS,MU,19,2,0.2531892528,
SC,Seychelles,Eastern Africa,Sub-Saharan Africa,SYC,SC,17,3,0.1681198749,
CV,Cabo Verde,Western Africa,Sub-Saharan Africa,CPV,CV,-3,4,0.1042537362,
